,index,male,female,non-binary,timestamp
91,200936003.0,0,0,0,2021-06-25T02:17:42
92,233604007.0,0,0,0,2021-06-25T02:17:42
93,698247007.0,0,0,0,2021-06-25T02:17:42
94,hiv/aids,0,0,0,2021-06-25T02:17:54
95,covid-19,0,0,0,2021-06-25T02:17:54
96,takotsubo cardiomyopathy,0,0,0,2021-06-25T02:17:54
97,tuberculoses,0,0,0,2021-06-25T02:17:54
98,endocarditis,0,0,0,2021-06-25T02:17:54
99,syphilis,0,0,0,2021-06-25T02:17:54
100,test,0,0,0,2021-06-25T02:17:54
101,hypertension,0,0,0,2021-06-25T02:17:54
102,sarcoidoses,0,0,0,2021-06-25T02:17:54
103,hepatitis b,0,0,0,2021-06-25T02:17:54
104,ulcerative colitis,0,0,0,2021-06-25T02:17:54
105,crohn’s disease,0,0,0,2021-06-25T02:17:54
106,chagas disease,0,0,0,2021-06-25T02:17:54
107,3545003.0,0,0,0,2021-06-25T02:17:54
108,3716002.0,0,0,0,2021-06-25T02:17:54
109,3723001.0,0,0,0,2021-06-25T02:17:54
110,4308002.0,0,0,0,2021-06-25T02:17:54
111,6142004.0,0,0,0,2021-06-25T02:17:54
112,6471006.0,0,0,0,2021-06-25T02:17:54
113,7973008.0,0,0,0,2021-06-25T02:17:54
114,8357008.0,0,0,0,2021-06-25T02:17:54
115,menstruation,0,0,0,2021-06-25T02:17:54
116,9829001.0,0,0,0,2021-06-25T02:17:54
117,10743008.0,0,0,0,2021-06-25T02:17:54
118,11381005.0,0,0,0,2021-06-25T02:17:54
119,11654001.0,0,0,0,2021-06-25T02:17:54
120,13746004.0,0,0,0,2021-06-25T02:17:54
121,34486009.0,0,0,0,2021-06-25T02:17:54
122,40930008.0,0,0,0,2021-06-25T02:17:54
123,14669001.0,0,0,0,2021-06-25T02:17:54
124,15188001.0,0,0,0,2021-06-25T02:17:54
125,18193002.0,0,0,0,2021-06-25T02:17:54
126,18718003.0,0,0,0,2021-06-25T02:17:54
127,21134002.0,0,0,0,2021-06-25T02:17:54
128,396275006.0,0,0,0,2021-06-25T02:17:54
129,22298006.0,0,0,0,2021-06-25T02:17:54
130,23502006.0,0,0,0,2021-06-25T02:17:54
131,23919004.0,0,0,0,2021-06-25T02:17:54
132,24693007.0,0,0,0,2021-06-25T02:17:54
133,24700007.0,0,0,0,2021-06-25T02:17:54
134,25458004.0,0,0,0,2021-06-25T02:17:54
135,26889001.0,0,0,0,2021-06-25T02:17:54
136,26929004.0,0,0,0,2021-06-25T02:17:54
137,29384001.0,0,0,0,2021-06-25T02:17:54
138,30811009.0,0,0,0,2021-06-25T02:17:54
139,31384009.0,0,0,0,2021-06-25T02:17:54
140,32398004.0,0,0,0,2021-06-25T02:17:54
141,32798002.0,0,0,0,2021-06-25T02:17:54
142,32914008.0,0,0,0,2021-06-25T02:17:54
143,34840004.0,0,0,0,2021-06-25T02:17:54
144,35489007.0,0,0,0,2021-06-25T02:17:54
145,36971009.0,0,0,0,2021-06-25T02:17:54
146,37340000.0,0,0,0,2021-06-25T02:17:54
147,39400004.0,0,0,0,2021-06-25T02:17:54
148,39621005.0,0,0,0,2021-06-25T02:17:54
149,40733004.0,105,6,0,2021-06-25T02:17:54
150,91302008,0,0,0,2021-06-25T02:17:54
151,161712005.0,0,0,0,2021-06-25T02:17:54
152,43116000.0,0,0,0,2021-06-25T02:17:54
153,44054006.0,0,0,0,2021-06-25T02:17:54
154,46635009.0,0,0,0,2021-06-25T02:17:54
155,49049000.0,0,0,0,2021-06-25T02:17:54
156,49601007.0,0,0,0,2021-06-25T02:17:54
157,50829006.0,0,0,0,2021-06-25T02:17:54
158,52448006.0,0,0,0,2021-06-25T02:17:54
159,52702003.0,0,0,0,2021-06-25T02:17:54
160,53741008.0,0,0,0,2021-06-25T02:17:54
161,54150009.0,0,0,0,2021-06-25T02:17:54
162,56317004.0,0,0,0,2021-06-25T02:17:54
163,56925008.0,0,0,0,2021-06-25T02:17:54
164,57182000.0,0,0,0,2021-06-25T02:17:54
165,57406009.0,0,0,0,2021-06-25T02:17:54
166,59927004.0,0,0,0,2021-06-25T02:17:54
167,60862001.0,0,0,0,2021-06-25T02:17:54
168,61462000.0,0,0,0,2021-06-25T02:17:54
169,61599003.0,0,0,0,2021-06-25T02:17:54
170,62315008.0,0,0,0,2021-06-25T02:17:54
171,63102001.0,0,0,0,2021-06-25T02:17:54
172,67362008.0,0,0,0,2021-06-25T02:17:54
173,68566005.0,0,0,0,2021-06-25T02:17:54
174,69322001.0,0,0,0,2021-06-25T02:17:54
175,69896004.0,0,0,0,2021-06-25T02:17:54
176,73211009.0,0,0,0,2021-06-25T02:17:54
177,73442001.0,0,0,0,2021-06-25T02:17:54
178,74732009.0,0,0,0,2021-06-25T02:17:54
179,75694006.0,0,0,0,2021-06-25T02:17:54
180,76376003.0,0,0,0,2021-06-25T02:17:54
181,86044005.0,0,0,0,2021-06-25T02:17:54
182,709044004.0,0,0,0,2021-06-25T02:17:54
183,129103003.0,0,0,0,2021-06-25T02:17:54
184,195967001.0,0,0,0,2021-06-25T02:17:54
185,200936003.0,0,0,0,2021-06-25T02:17:54
186,233604007.0,0,0,0,2021-06-25T02:17:54
187,698247007.0,0,0,0,2021-06-25T02:17:54
188,hiv/aids,0,0,0,2021-06-25T02:19:02
189,covid-19,0,0,0,2021-06-25T02:19:02
190,takotsubo cardiomyopathy,0,0,0,2021-06-25T02:19:02
191,tuberculoses,0,0,0,2021-06-25T02:19:02
192,endocarditis,0,0,0,2021-06-25T02:19:02
193,syphilis,0,0,0,2021-06-25T02:19:02
194,test,0,0,0,2021-06-25T02:19:02
195,hypertension,0,0,0,2021-06-25T02:19:02
196,sarcoidoses,0,0,0,2021-06-25T02:19:02
197,hepatitis b,0,0,0,2021-06-25T02:19:02
198,ulcerative colitis,0,0,0,2021-06-25T02:19:02
199,crohn’s disease,0,0,0,2021-06-25T02:19:02
200,chagas disease,0,0,0,2021-06-25T02:19:02
201,3545003.0,0,0,0,2021-06-25T02:19:02
202,3716002.0,0,0,0,2021-06-25T02:19:02
203,3723001.0,0,0,0,2021-06-25T02:19:02
204,4308002.0,0,0,0,2021-06-25T02:19:02
205,6142004.0,0,0,0,2021-06-25T02:19:02
206,6471006.0,0,0,0,2021-06-25T02:19:02
207,7973008.0,0,0,0,2021-06-25T02:19:02
208,8357008.0,0,0,0,2021-06-25T02:19:02
209,menstruation,0,0,0,2021-06-25T02:19:02
210,9829001.0,0,0,0,2021-06-25T02:19:02
211,10743008.0,0,0,0,2021-06-25T02:19:02
212,11381005.0,0,0,0,2021-06-25T02:19:02
213,11654001.0,0,0,0,2021-06-25T02:19:02
214,13746004.0,0,0,0,2021-06-25T02:19:02
